	BMDM_veh_rep1	BMDM_veh_rep2	BMDM_DMHCA_rep1	BMDM_DMHCA_rep2	BMDM_DMHCA_rep3	BMDM_GW_rep1	BMDM_GW_rep2	BMDM_GW_rep3
Dok5	0	0	0	0	0	0	0	0
Ppfia2	0	0	0	0	0	0	0	0
AI314278	0	0	0	0	0	0	0	0
Lincred1	0	1	0	0	0	0	0	0
Ptprtos	0	0	0	0	0	0	0	0
Arc	51	54	0	0	0	0	0	0
Crhr1	0	0	0	0	0	0	0	0
Meis2	0	0	0	0	0	0	0	0
Kifc2	235	434	0	22	0	52	0	0
Olfr869	0	0	0	0	0	0	0	0
Cct6a	3219	3846	0	70	1	727	0	3
Xylt1	948	1155	0	0	0	133	1	0
C530005A16Rik	204	314	0	0	0	24	0	0
Mup4	0	6	0	0	0	0	0	0
Gm20110	0	0	0	0	0	0	0	0
Musk	0	0	0	0	0	0	0	0
Olfr391-ps	0	0	0	0	0	0	0	0
Gm12171	0	0	0	0	0	0	0	0
Psmf1	1063	1435	0	26	0	105	0	0
Gpank1	410	514	0	32	0	21	0	19
Mgst3	1143	1639	0	0	17	603	0	14
Ntng1	0	0	0	0	0	0	0	0
Ltk	0	2	0	10	0	0	0	0
Efhc1	15	24	0	0	0	0	0	0
Chd8	5400	6240	192	141	68	1265	1	55
Lag3	6	8	0	0	0	0	0	0
Pdha1	2968	3568	93	8	0	520	0	0
Son	18070	20493	290	392	91	4266	383	60
Upf3a	641	838	0	0	0	21	125	0
Ncbp3	1287	1476	0	20	0	414	0	0
Gm35135	0	0	0	0	0	0	0	0
4930553P18Rik	0	0	0	0	0	0	0	0
Sirt3	332	426	0	0	0	62	0	0
Rhbdl1	65	75	0	0	0	0	0	0
Cbs	0	4	0	0	0	70	0	0
Fads1	5252	6609	220	137	40	1171	1	29
Foxn4	0	0	0	0	0	0	0	0
Fam20b	2900	3288	0	18	1	634	1	1
Snph	0	0	0	0	0	0	0	0
Zfp574	705	962	0	0	0	450	0	0
Smim20	487	652	24	28	0	143	0	0
Ube2g1	1672	1817	0	53	0	348	0	14
Cltc	34522	39869	255	382	136	7127	219	6
Pknox1	804	999	41	0	0	214	0	0
4930583K01Rik	0	0	0	0	0	0	0	0
Sptlc3	0	0	0	0	0	0	0	0
1700057H21Rik	0	0	0	0	0	0	0	0
Fip1l1	1695	1869	0	82	0	530	1	0
Eno1	4517	6438	179	149	1	1654	84	41
Olfr965	0	0	0	0	0	0	0	0
Ppil6	3	2	0	0	0	0	0	0
Adam15	10916	15133	465	390	5	4894	528	36
Fbxo18	2107	2430	0	71	0	181	53	47
Havcr1	0	4	0	0	0	0	0	0
Ccl20	0	0	0	0	0	0	0	0
Mrc1	5388	6567	224	124	102	998	115	12
Prokr1	155	177	0	0	0	0	0	0
Fgf8	0	0	0	0	0	0	0	0
Jakmip1	0	0	0	0	0	0	0	0
Olfr829	0	0	0	0	0	0	0	0
Tm6sf2	0	0	0	0	0	0	0	0
Dgkb	0	0	0	0	0	0	0	0
Yae1d1	360	490	0	0	0	109	0	0
Slc10a4	0	0	0	0	0	0	0	0
1700020I14Rik	1370	1493	0	92	1	192	0	0
Yod1	435	438	0	28	15	145	0	0
Olfr801	0	0	0	0	0	0	0	0
Hsd17b13	0	0	0	0	0	0	0	0
Fndc1	0	2	0	0	0	0	0	0
Nccrp1	2	0	0	0	0	0	0	0
Gm10640	0	2	0	0	0	34	0	0
Lrrc4c	0	0	0	0	0	0	0	0
Ak7	4	0	0	0	0	0	0	0
Atp13a5	4	0	0	0	0	0	0	0
4931408D14Rik	2	4	0	0	0	1	0	1
Ier5	4310	5244	176	113	0	1357	73	0
Pcnx4	451	587	0	0	0	80	0	0
Nfib	10	15	0	2	0	0	0	1
Tceal3	0	0	0	0	0	0	0	0
Hpgds	10807	11934	145	138	135	2000	1	37
Zmynd11	3364	3758	94	49	73	993	97	0
Abca8a	0	0	0	0	0	0	0	0
Tgfbr1	13147	14367	150	233	54	2307	154	36
Rims3	96	106	0	1	0	0	0	0
1700057G04Rik	0	0	0	0	0	0	0	0
Cdh20	0	0	0	0	0	0	0	0
Pkd2	1883	2066	0	20	0	287	0	0
Sun3	0	0	0	0	0	0	0	0
Cemip	15	20	0	0	0	0	0	0
Bmp2	37	47	1	0	0	2	0	0
Gmps	1624	1755	0	48	1	292	1	1
1700084E18Rik	18	3	0	0	0	0	0	0
Lrch3	2778	3204	136	80	54	696	10	9
Npnt	0	0	0	0	0	0	0	0
Ablim1	35	32	0	0	0	13	0	0
Fgf7	5	2	0	0	0	0	0	0
Akr1c18	0	0	0	0	0	0	0	0
Skor2	1	0	0	0	0	0	0	0
Gm10638	19	38	0	0	0	0	0	0
Inip	1393	1724	114	0	24	322	0	0
Cdkn1b	2291	2964	82	18	68	480	0	19
Gm8624	0	1	0	0	0	0	0	0
Tmod3	6264	6367	60	323	114	1368	48	38
4930449E18Rik	0	0	0	0	0	0	0	0
4833423E24Rik	0	0	0	0	0	0	0	0
Tepp	0	0	0	0	0	0	0	0
Lkaaear1	0	0	0	0	0	0	0	0
Eprn	0	0	0	0	0	0	0	0
Ctla2a	44	97	0	0	0	0	0	0
Acod1	2000	970	0	26	34	83	0	0
Parp10	1606	2100	202	51	0	538	39	1
Sprr2a2	0	0	0	0	0	0	0	0
Ccdc88c	3	2	0	0	0	0	0	0
Snu13	334	442	0	0	0	121	0	0
Ovol2	0	2	0	0	0	0	0	0
Mup1	0	0	0	0	0	0	0	0
Xlr5a	0	0	0	0	0	0	0	0
Sstr3	2	0	0	0	0	0	0	0
Tnfrsf17	3	4	0	0	0	0	0	0
Rpl8	13127	18226	287	334	67	3854	103	46
Mrps17	880	1027	0	64	0	148	0	16
Trim41	1823	2763	144	3	0	737	234	1
Gucy1b2	0	0	0	0	0	0	0	0
Cfc1	0	0	0	0	0	0	0	0
Vps4a	1643	1857	101	23	0	337	134	0
Cyfip2	3835	4140	81	36	0	1125	107	20
Sdk2	2	2	0	0	0	0	0	0
Cyp2c53-ps	0	0	0	0	0	0	0	0
Wfdc17	1580	2009	104	13	76	154	58	26
Nav1	9713	11600	41	251	71	2965	108	26
Wdr13	2772	3234	220	24	23	742	105	1
Akp3	0	0	0	0	0	0	0	0
Cpne5	0	0	0	0	0	0	0	0
Slc22a20	0	0	0	0	0	0	0	0
4930524C18Rik	0	0	0	0	0	0	0	0
Hif1an	2074	2626	218	38	32	484	1	1
Hddc3	48	72	0	0	0	0	0	0
Ccl17	0	0	0	0	0	0	0	0
Jmjd7	50	118	0	0	0	0	0	0
Mal	0	0	0	0	0	0	0	0
Pxylp1	64	103	0	0	0	62	0	0
Rnft2	32	22	0	0	0	0	0	0
Pomt2	726	899	0	34	49	442	0	0
Tmco5	0	0	0	0	0	0	0	0
Tmem179	0	0	0	0	0	0	0	0
Mogat1	0	0	0	0	0	0	0	0
Smad5	1199	1278	0	9	28	248	0	0
Dld	2779	2981	0	31	0	492	0	0
Fam98b	868	1049	86	0	0	221	46	0
Nacc1	3667	4839	0	177	0	1234	106	24
Cyp19a1	0	0	0	0	0	0	0	0
Cers4	196	207	0	0	0	94	0	0
Aqp12	0	0	0	0	0	0	0	0
Olfr1006	0	0	0	0	0	0	0	0
G6pc2	0	0	0	0	0	0	0	0
Nudt16	321	388	2	0	7	88	0	0
Zfp229	313	286	0	0	0	65	0	16
Gm15348	0	0	0	0	0	0	0	0
Etfrf1	531	671	0	12	0	170	65	0
Klhl13	2	0	0	0	0	0	0	0
Nid2	100	183	0	0	0	0	0	0
4930417O22Rik	0	0	0	0	0	0	0	0
LOC102640673	181	206	0	0	0	57	0	6
Gpr182	6	11	0	0	0	0	0	0
Tpte	0	0	0	0	0	0	0	0
Slc7a6os	504	672	0	28	0	278	0	0
Gm8882	0	0	0	0	0	0	0	0
Erbb4	0	0	0	8	0	0	0	0
Pamr1	0	4	0	0	0	0	0	0
Spo11	0	0	0	0	0	0	0	0
Tmem189	6054	7413	122	64	46	2214	67	18
Nol9	1190	1661	0	29	0	362	88	19
Nadk2	861	1001	0	0	0	457	0	0
Ttc19	324	435	0	1	1	48	0	0
Paqr9	0	0	0	0	0	0	0	0
Sv2b	0	0	0	0	0	0	0	0
Cdh24	8	22	0	0	0	0	0	0
Tmem42	95	156	0	0	0	62	0	0
Gm29571	2	0	0	0	0	0	0	0
Olfr68	0	0	0	0	0	0	0	0
Cyp4f37	0	2	0	0	0	0	0	0
Il17re	0	0	0	0	0	0	0	0
Cox20	349	325	0	0	24	11	0	0
9230112J17Rik	0	0	0	0	0	0	0	0
Fxn	67	123	0	27	0	11	0	0
Adam1a	30	52	0	48	38	0	0	0
Chchd10	247	358	0	0	0	27	0	0
Camk4	20	15	0	0	0	0	0	0
Cpa2	0	0	0	0	0	0	0	0
Unc13a	27	24	0	0	0	69	0	0
Tmem184a	0	0	0	0	0	0	0	0
Speer1	0	0	0	0	0	0	0	0
Lsm11	406	658	0	0	0	73	0	0
Lenep	58	62	0	0	0	0	0	0
Gm4187	0	0	0	0	0	0	0	0
Hist2h3b	0	0	0	0	0	0	0	0
Olfr1289	0	0	0	0	0	0	0	0
Trappc13	1875	2001	1	66	20	178	79	0
Rrad	538	473	0	0	0	203	0	0
Znrd1	394	539	148	40	0	62	0	0
Cd55	6	8	0	0	0	0	0	0
Gm21953	0	0	0	0	0	0	0	0
Olfr518	0	0	0	0	4	0	0	0
Coq7	132	246	0	16	0	18	0	0
1700100I10Rik	1	0	0	0	0	0	0	0
Pramef17	0	0	0	0	0	0	0	0
3830417A13Rik	0	0	0	0	0	0	0	0
E230016K23Rik	4	3	0	0	0	0	0	0
Olfr330	0	0	0	0	0	0	0	0
5830416I19Rik	209	229	0	0	0	0	0	0
Trpc6	0	0	0	0	0	0	0	0
Magea6	0	0	0	0	0	0	0	0
Fkbp9	455	605	0	51	0	99	1	0
Ptges3l	93	124	0	0	0	63	0	0
Lmntd2	12	15	0	0	0	0	0	0
P2rx1	10	11	0	0	0	0	0	0
Gtpbp3	533	775	0	1	0	274	0	0
Aire	0	0	0	0	0	0	0	0
Olfr1404	0	0	0	0	0	0	0	0
Gm13034	15	30	0	0	0	0	0	0
Lrtm2	0	0	0	0	0	0	0	0
Rtl1	0	2	0	0	0	0	0	0
Gm3458	0	0	0	0	0	0	0	0
Dusp13	9	26	0	0	0	0	0	0
Rbm12	1107	1479	228	0	0	441	0	0
Patj	35	54	0	0	1	0	0	0
Itgb6	0	2	0	0	0	0	0	0
5830417I10Rik	933	1061	1	8	0	296	0	0
Ogdhl	0	4	0	0	0	0	0	0
Gm15915	0	0	0	0	0	0	0	0
C030007H22Rik	0	0	0	0	0	0	0	0
Stk11ip	2555	3177	123	58	88	661	0	20
Mthfd1	931	1154	0	44	1	161	0	0
Cwc15	2701	3205	0	79	2	208	0	22
Eif4h	7802	10062	274	199	15	1892	53	125
Arnt	2720	3120	0	63	0	1042	0	0
Rpa2	767	1177	0	0	0	107	0	0
Isg20	82	104	0	0	0	1	0	0
Cdc42	28030	33324	760	526	232	6721	551	109
Lect2	0	2	0	0	0	0	0	0
Cbr3	508	705	0	0	0	362	96	0
Raet1a	151	227	0	0	0	27	0	0
Aurkc	0	0	0	0	0	0	0	0
Cdc37	4103	6105	130	150	0	1635	0	0
Rbm47	5750	6906	221	145	50	1678	0	46
Shmt2	1095	1748	111	58	0	278	88	0
Tspo	2385	3627	35	150	50	783	0	40
Rprml	0	0	0	0	0	0	0	0
Catsperd	1	1	0	0	0	0	0	0
Ddx11	507	604	0	33	57	145	0	0
Dnaaf2	341	492	0	0	0	201	0	33
Stxbp5l	0	0	0	0	0	0	0	0
Pou2f2	3360	2932	0	23	64	1293	75	9
Mal2	0	0	0	0	0	0	0	0
Klk4	0	0	0	0	0	0	0	0
Hist1h3h	0	5	0	0	0	0	0	0
Proser3	269	392	0	1	0	102	0	0
Herc3	1223	1484	0	192	0	214	0	12
Gm35722	0	0	0	0	0	0	0	0
Csn1s2a	0	0	0	0	0	0	0	0
Olfr50	0	0	0	0	0	0	0	0
Dhtkd1	33	47	0	0	0	21	0	0
Cul4b	2492	2907	184	37	1	292	79	0
Adamts16	0	0	0	0	0	0	0	0
Dhrs7c	0	0	0	0	0	0	0	0
Ptpn11	4583	5587	256	70	0	1342	135	3
Prkag2os1	1	0	0	0	0	0	0	0
Olfr1325	0	0	0	0	0	0	0	0
Ubxn1	2465	3275	194	67	1	802	0	8
1700101O22Rik	0	0	0	0	0	0	0	0
Hnrnpm	5392	6570	87	112	1	1010	0	39
Bud31	1544	1802	62	0	0	272	0	10
Slc38a3	0	0	0	0	0	0	0	0
Zeb1	126	199	0	0	0	0	0	0
Kdm8	134	219	0	42	0	112	34	0
Gm38436	0	0	0	0	0	0	0	0
Smim1	626	791	0	0	1	418	28	0
Itpr1	1558	1771	0	48	0	441	0	0
Krt73	0	1	0	0	0	0	0	0
Gm5089	0	0	0	0	0	0	0	0
Trhr2	0	0	0	0	0	0	0	0
Fkbp5	636	976	0	4	0	169	1	0
Drd3	0	0	0	0	0	0	0	0
Phf20	2491	2891	0	102	0	617	0	0
Ptprz1	0	0	0	0	0	0	0	0
Shisa8	0	0	0	0	0	0	0	0
Gpr141	2420	2496	0	23	0	138	0	14
Arih1	5211	5926	332	199	0	1080	0	0
Rnf13	9896	10262	429	236	42	2105	89	35
E030044B06Rik	0	0	0	0	0	0	0	0
Mmp28	36	44	0	0	0	0	0	0
Gm13375	93	190	0	0	0	0	0	0
Dyx1c1	10	11	0	0	0	0	0	0
Reln	0	0	0	0	0	0	0	0
Fam76b	2069	2243	1	127	34	359	73	11
Rhbdd2	662	834	0	28	0	156	44	0
Srrm4	2	0	0	0	0	0	0	0
Gm839	0	0	0	0	0	0	0	0
1700001C19Rik	32	89	0	0	0	66	0	0
Kcnip4	10	9	0	0	0	0	0	0
Sash1	15375	17067	403	183	64	3996	247	104
4930552P12Rik	8	4	0	0	0	0	0	0
Agr2	0	0	0	0	0	0	0	0
Sele	1	2	0	0	0	0	0	0
Ccdc172	0	0	0	0	0	0	0	0
A730046J19Rik	0	0	0	0	0	0	0	0
Dlat	1630	2057	0	1	0	608	104	23
Spert	0	0	0	0	0	0	0	0
Cd180	15419	17743	496	294	152	5005	317	4
Sbf2	5698	6453	68	110	28	1555	78	0
Scamp5	1700	2573	0	68	0	252	0	0
Dok1	2173	3079	141	20	0	886	0	0
Sacm1l	2743	3065	69	56	0	500	0	0
Zfp607b	44	44	0	0	0	56	0	0
Uaca	690	847	0	0	0	125	63	0
Ctnnbl1	972	1241	0	40	0	229	0	0
Gnai1	2	2	0	0	0	0	0	0
Adck5	477	699	127	0	0	100	82	0
Zfp180	1006	1240	84	32	31	191	0	0
Sorbs3	390	508	0	46	0	0	0	0
4930486L24Rik	24	43	0	0	0	0	0	0
Olfr1275	0	0	0	0	0	0	0	0
Gm5935	0	0	0	0	0	0	0	0
Il23r	0	0	0	0	0	0	0	0
Sox21	0	0	0	0	0	0	0	0
Hr	6	4	0	0	0	0	0	0
Ccdc157	137	221	0	0	0	30	0	0
Grhl2	4	0	0	0	0	0	0	0
Dtx4	4525	5053	0	82	0	1055	44	38
Gata1	0	2	0	0	0	0	0	0
Ints4	1327	1691	176	40	0	412	0	0
Ly6k	0	0	0	0	0	0	0	0
Bend6	14	18	0	0	0	0	0	0
Krtap1-5	0	0	0	0	0	0	0	0
Tfr2	2	0	0	0	0	0	0	0
Dgkk	0	1	0	0	0	0	0	0
Lrp10	6444	8576	392	124	68	2015	0	39
Plk2	2580	2824	0	19	0	877	0	3
Olfr589	0	0	0	0	0	0	0	0
Tinagl1	2	5	1	0	0	0	0	0
Cd74	24124	23074	660	419	231	6269	724	207
Olfr358	0	0	0	0	0	0	0	0
Ccl7	8	24	1	0	1	0	0	1
Ocln	0	2	0	0	0	0	0	1
A530032D15Rik	7	9	0	0	0	0	0	0
Txnrd2	452	667	0	0	0	155	0	0
H2-L	45967	61682	2061	1306	461	14971	1220	279
Pla2g3	0	2	0	0	0	0	0	0
Rbfox3	0	0	0	0	0	0	0	0
Il20rb	87	124	4	18	0	0	0	0
Galc	7078	7634	186	16	0	1138	255	18
Mrpl11	545	766	1	0	0	76	0	0
Carhsp1	1459	1983	92	63	5	629	0	0
Cldn18	0	0	0	0	0	0	0	0
Cse1l	2932	3105	0	66	0	606	0	24
Rab9b	0	0	0	0	0	0	0	0
Ccl5	116	184	0	0	72	0	0	0
Gabbr1	6	0	0	0	0	0	0	0
A430033K04Rik	199	221	0	0	0	0	76	0
4933432I09Rik	0	0	0	0	0	0	0	0
Ap2a1	4272	5916	263	124	1	947	1	13
Sec61b	545	776	15	0	0	117	0	15
4933402J07Rik	0	0	0	0	0	0	0	0
Scn3b	109	143	0	0	0	81	82	0
Adal	413	452	0	31	0	38	0	0
Pstpip1	2025	2581	138	108	54	392	0	0
AI507597	84	161	0	0	0	0	0	0
Cdc25c	326	500	65	0	0	90	0	0
Gm10100	0	0	0	0	0	0	0	0
Pnkd	272	382	0	1	0	20	1	0
Celf6	0	0	0	0	0	0	0	0
Olfr101	0	0	0	0	0	0	0	0
Mut	1523	1709	0	0	0	186	1	0
Nat8l	271	469	0	0	0	70	0	0
Sdc4	5548	5513	89	121	1	1097	175	2
Wdr82	3303	3853	99	142	48	869	42	20
Vash2	243	325	53	0	0	20	0	0
Adamtsl2	0	0	0	0	0	0	0	0
Chpf	8	20	0	0	0	0	0	0
Vwc2l	0	0	0	0	0	0	0	0
Gm19510	0	0	0	0	0	0	0	0
Nbr1	6520	7710	648	26	2	1176	201	0
Olfr566	0	0	0	0	0	0	0	0
Chrd	0	0	0	0	0	0	0	0
Spink13	0	0	0	0	0	0	0	0
Pcdhga5	698	949	226	48	0	157	84	0
Satb1	92	111	0	0	0	53	0	0
Smim12	592	866	98	0	0	42	0	0
1110017D15Rik	0	5	0	0	0	0	0	0
Wfdc1	0	0	0	0	0	0	0	0
Ms4a13	0	0	0	0	0	0	0	0
Ccdc70	0	0	0	0	0	0	0	0
Disp3	0	0	0	0	0	0	0	0
Cdh4	0	0	0	0	0	0	0	0
Kpna4	4163	3994	0	159	2	960	0	16
Capg	26468	33714	1227	802	209	8960	506	127
Rgs8	0	0	0	0	0	0	0	0
Olfr1018	0	0	0	0	0	0	0	0
Fermt2	12	10	0	0	0	0	0	1
1600029I14Rik	0	0	0	0	0	0	0	0
Lpin1	1604	2025	2	5	0	641	1	0
Gm13289	0	0	0	0	0	0	0	0
Gm2694	0	0	0	0	0	0	0	0
Vmn1r113	0	0	0	0	0	0	0	0
Olfr630	0	0	0	0	0	0	0	0
Gast	0	0	0	0	0	0	0	0
Palm2	0	0	0	0	0	0	0	0
Smpdl3b	225	391	0	0	0	40	0	0
Rbm39	5230	5645	56	55	74	740	76	0
Olfr981	2	0	0	0	2	0	0	0
Rbmy	0	0	0	0	0	0	0	0
Klhl1	0	0	0	0	0	0	0	0
Sec31b	56	86	0	0	0	30	0	0
Faim	460	651	0	0	0	53	0	38
Zswim5	6	5	0	0	0	0	0	0
Prss23	2	4	0	0	0	0	0	0
BC052040	289	410	0	0	0	59	0	0
Tnfrsf26	1322	1548	0	51	0	380	1	1
DXBay18	0	0	0	0	0	0	0	0
Ift46	1126	1696	102	1	1	283	88	0
Hsf4	106	132	0	0	0	0	0	0
Gm4532	12	14	0	0	0	0	0	0
Sycp1-ps1	0	0	0	0	0	0	0	0
D130017N08Rik	41	58	0	0	0	82	0	0
Zfp385b	0	0	0	0	0	0	0	0
Pik3ca	4428	4978	84	98	0	657	27	26
Acacb	32	32	0	0	0	0	0	0
Cebpd	1035	1131	136	72	1	281	0	0
Gja4	0	0	0	0	0	0	0	0
Olfr1454	0	0	0	0	0	0	0	0
Fam206a	1018	1025	0	0	0	186	0	0
E130006D01Rik	0	0	0	0	0	0	0	0
Ccdc180	38	44	0	0	0	9	0	0
Rundc3b	111	124	0	0	0	0	0	0
Parva	4	10	0	1	0	0	0	0
4933432G23Rik	0	0	0	0	0	0	0	0
Spock1	0	0	0	0	0	0	0	0
Rpp25l	379	530	0	0	0	234	0	0
Gria2	0	0	0	0	0	0	0	0
Lgals7	0	1	0	0	0	0	0	0
Fbxo41	0	0	0	0	0	0	0	0
1700096J18Rik	4	2	0	0	0	0	0	0
Vmn1r210	0	0	0	0	0	0	0	0
AU022754	0	0	0	0	0	0	0	0
Rsrc2	1513	1357	0	58	0	244	71	0
Cep44	251	338	0	46	0	59	0	0
4930529C04Rik	1	0	0	0	0	0	0	0
1700054A03Rik	0	0	0	0	0	0	0	0
Ctxn1	25	39	0	1	0	0	0	0
Tspan6	6	0	0	0	0	0	0	0
Cadm2	0	0	0	0	0	0	0	0
Mybpc3	24	28	0	0	0	24	0	0
Gpam	705	944	0	61	1	245	0	0
C030013G03Rik	0	0	0	0	0	0	0	0
Alkbh3os1	4	12	0	0	0	35	0	0
Zfp51	403	337	0	0	36	29	0	0
Rps3	13975	18907	742	175	62	2349	457	71
Aup1	4632	6386	98	227	104	1940	6	11
Svil	2065	2541	2	13	0	393	73	37
Acvr1c	0	0	0	0	0	0	0	0
Bicd2	3858	4577	79	174	2	1254	79	0
Zscan26	2355	2747	0	0	18	463	0	21
Mst1r	0	0	0	0	0	0	0	0
Rap2b	8266	10121	112	192	93	2552	169	1
Osm	152	244	0	0	0	113	0	0
Prr32	0	0	0	0	0	0	0	0
Fus	2800	3647	64	80	0	134	0	14
Mapk10	0	2	1	0	0	0	0	0
Fam50a	1739	1986	40	17	24	259	0	0
Haus4	561	832	0	34	0	75	0	9
Cd27	10	20	0	0	0	25	0	0
Olfr1038-ps	0	0	0	0	0	0	0	0
Zfp85	181	160	0	0	0	21	0	0
2810429I04Rik	0	4	0	0	0	0	0	0
Scel	23	16	0	0	0	0	0	0
Pitrm1	2049	2400	66	40	0	498	0	0
Ccdc148	8	21	0	0	0	0	0	0
Gm20063	0	0	0	0	0	0	0	0
Bri3bp	2214	2821	164	34	0	489	0	12
Bap1	2494	3168	224	0	1	884	55	8
Deaf1	683	910	0	0	46	306	0	0
Rell2	185	244	33	0	0	0	0	56
Olfr812	0	0	0	0	0	0	0	0
Stoml3	0	0	0	0	0	0	0	0
Cry2	460	498	38	0	0	73	0	0
Pcdh11x	0	0	0	0	0	0	0	0
Sept4	0	2	0	0	0	0	0	0
Qrsl1	292	437	97	0	24	55	0	0
